clip_name,clip_path,label
v_BenchPress_g14_c03,/train/BenchPress/v_BenchPress_g14_c03.avi,BenchPress
v_BenchPress_g05_c06,/train/BenchPress/v_BenchPress_g05_c06.avi,BenchPress
v_BenchPress_g21_c03,/train/BenchPress/v_BenchPress_g21_c03.avi,BenchPress
v_BenchPress_g23_c05,/train/BenchPress/v_BenchPress_g23_c05.avi,BenchPress
v_BenchPress_g25_c01,/train/BenchPress/v_BenchPress_g25_c01.avi,BenchPress
v_BenchPress_g03_c04,/train/BenchPress/v_BenchPress_g03_c04.avi,BenchPress
v_BenchPress_g08_c05,/train/BenchPress/v_BenchPress_g08_c05.avi,BenchPress
v_BenchPress_g02_c06,/train/BenchPress/v_BenchPress_g02_c06.avi,BenchPress
v_BenchPress_g24_c03,/train/BenchPress/v_BenchPress_g24_c03.avi,BenchPress
v_BenchPress_g15_c03,/train/BenchPress/v_BenchPress_g15_c03.avi,BenchPress
v_BenchPress_g05_c07,/train/BenchPress/v_BenchPress_g05_c07.avi,BenchPress
v_BenchPress_g10_c03,/train/BenchPress/v_BenchPress_g10_c03.avi,BenchPress
v_BenchPress_g18_c04,/train/BenchPress/v_BenchPress_g18_c04.avi,BenchPress
v_BenchPress_g14_c02,/train/BenchPress/v_BenchPress_g14_c02.avi,BenchPress
v_BenchPress_g25_c07,/train/BenchPress/v_BenchPress_g25_c07.avi,BenchPress
v_BenchPress_g20_c01,/train/BenchPress/v_BenchPress_g20_c01.avi,BenchPress
v_BenchPress_g18_c03,/train/BenchPress/v_BenchPress_g18_c03.avi,BenchPress
v_BenchPress_g11_c01,/train/BenchPress/v_BenchPress_g11_c01.avi,BenchPress
v_BenchPress_g01_c05,/train/BenchPress/v_BenchPress_g01_c05.avi,BenchPress
v_BenchPress_g25_c03,/train/BenchPress/v_BenchPress_g25_c03.avi,BenchPress
v_BenchPress_g10_c01,/train/BenchPress/v_BenchPress_g10_c01.avi,BenchPress
v_BenchPress_g01_c04,/train/BenchPress/v_BenchPress_g01_c04.avi,BenchPress
v_BenchPress_g22_c07,/train/BenchPress/v_BenchPress_g22_c07.avi,BenchPress
v_BenchPress_g09_c07,/train/BenchPress/v_BenchPress_g09_c07.avi,BenchPress
v_BenchPress_g18_c05,/train/BenchPress/v_BenchPress_g18_c05.avi,BenchPress
v_BenchPress_g23_c01,/train/BenchPress/v_BenchPress_g23_c01.avi,BenchPress
v_BenchPress_g05_c01,/train/BenchPress/v_BenchPress_g05_c01.avi,BenchPress
v_BenchPress_g22_c01,/train/BenchPress/v_BenchPress_g22_c01.avi,BenchPress
v_BenchPress_g11_c02,/train/BenchPress/v_BenchPress_g11_c02.avi,BenchPress
v_BenchPress_g13_c01,/train/BenchPress/v_BenchPress_g13_c01.avi,BenchPress
v_BenchPress_g16_c04,/train/BenchPress/v_BenchPress_g16_c04.avi,BenchPress
v_BenchPress_g16_c05,/train/BenchPress/v_BenchPress_g16_c05.avi,BenchPress
v_BenchPress_g25_c05,/train/BenchPress/v_BenchPress_g25_c05.avi,BenchPress
v_BenchPress_g03_c03,/train/BenchPress/v_BenchPress_g03_c03.avi,BenchPress
v_BenchPress_g05_c02,/train/BenchPress/v_BenchPress_g05_c02.avi,BenchPress
v_BenchPress_g11_c03,/train/BenchPress/v_BenchPress_g11_c03.avi,BenchPress
v_BenchPress_g04_c01,/train/BenchPress/v_BenchPress_g04_c01.avi,BenchPress
v_BenchPress_g11_c05,/train/BenchPress/v_BenchPress_g11_c05.avi,BenchPress
v_BenchPress_g18_c02,/train/BenchPress/v_BenchPress_g18_c02.avi,BenchPress
v_BenchPress_g21_c04,/train/BenchPress/v_BenchPress_g21_c04.avi,BenchPress
v_BenchPress_g12_c05,/train/BenchPress/v_BenchPress_g12_c05.avi,BenchPress
v_BenchPress_g20_c06,/train/BenchPress/v_BenchPress_g20_c06.avi,BenchPress
v_BenchPress_g14_c07,/train/BenchPress/v_BenchPress_g14_c07.avi,BenchPress
v_BenchPress_g13_c06,/train/BenchPress/v_BenchPress_g13_c06.avi,BenchPress
v_BenchPress_g16_c03,/train/BenchPress/v_BenchPress_g16_c03.avi,BenchPress
v_BenchPress_g01_c03,/train/BenchPress/v_BenchPress_g01_c03.avi,BenchPress
v_BenchPress_g08_c04,/train/BenchPress/v_BenchPress_g08_c04.avi,BenchPress
v_BenchPress_g13_c02,/train/BenchPress/v_BenchPress_g13_c02.avi,BenchPress
v_BenchPress_g02_c05,/train/BenchPress/v_BenchPress_g02_c05.avi,BenchPress
v_BenchPress_g06_c07,/train/BenchPress/v_BenchPress_g06_c07.avi,BenchPress
v_BenchPress_g07_c04,/train/BenchPress/v_BenchPress_g07_c04.avi,BenchPress
